price_aprox_usd,surface_covered_in_m2,lat,lon,neighbourhood
32911.5,54.0,19.324947,-99.083468,Iztapalapa
71670.61,80.0,19.391834,-99.188695,Benito Juárez
77449.13,50.0,19.360367,-99.192614,Álvaro Obregón
94308.8,57.0,19.298168,-99.113106,Tlalpan
60589.45,52.0,19.469681,-99.086136,Gustavo A. Madero
36692.81,60.0,19.392025,-99.135302,Benito Juárez
33930.09,60.0,19.301945,-99.049533,Tláhuac
36459.04,70.0,19.415143,-99.14685,Cuauhtémoc
34254.33,60.0,19.524143,-99.160149,Gustavo A. Madero
71653.61,70.0,19.393257,-99.157113,Benito Juárez
90726.12,91.0,19.336195,-99.23692,Álvaro Obregón
61288.91,80.0,19.410419,-99.194748,Miguel Hidalgo
42524.31,60.0,19.479793,-99.100174,Gustavo A. Madero
52943.48,80.0,19.400785,-99.147419,Benito Juárez
54758.8,66.0,19.497521,-99.203979,Azcapotzalco
39567.54,59.0,19.45789,-99.20016,Miguel Hidalgo
17386.53,48.0,19.363469,-99.010141,Iztapalapa
92201.34,90.0,19.260421,-99.120697,Xochimilco
61641.52,75.0,19.39942,-99.141673,Benito Juárez
89514.33,51.0,19.400097,-99.122093,Iztacalco
27606.96,48.0,19.393751,-99.049999,Iztapalapa
58640.21,50.0,19.365843,-99.149901,Benito Juárez
55320.8,71.0,19.36678,-99.21145,Álvaro Obregón
39773.02,70.0,19.323772,-99.116562,Coyoacán
60484.08,65.0,19.415461,-99.124168,Venustiano Carranza
89040.15,70.0,19.395058,-99.13078,Iztacalco
20547.72,65.0,19.312223,-99.105454,Coyoacán
47417.83,48.0,19.27838,-99.199387,Tlalpan
52171.98,70.0,19.428767,-99.1459,Cuauhtémoc
67596.75,60.0,19.403309,-99.145494,Benito Juárez
28766.82,66.0,19.350145,-99.086731,Iztapalapa
61274.38,60.0,19.402944,-99.199727,Miguel Hidalgo
28837.1,60.0,19.453201,-99.132967,Cuauhtémoc
45205.0,69.0,19.417636,-99.153292,Cuauhtémoc
44045.9,70.0,19.410215,-99.14595,Cuauhtémoc
83191.95,90.0,19.392814,-99.175476,Benito Juárez
26595.29,60.0,19.409843,-99.125509,Venustiano Carranza
68492.42,60.0,19.362679,-99.171002,Benito Juárez
51393.55,70.0,19.48888,-99.179278,Azcapotzalco
73900.83,80.0,19.334738,-99.176758,Coyoacán
38329.41,57.0,19.369859,-99.135812,Iztapalapa
55689.61,66.0,19.410412,-99.098521,Venustiano Carranza
57955.13,60.0,19.468775,-99.115636,Gustavo A. Madero
47402.99,80.0,19.470215,-99.140075,Gustavo A. Madero
44497.91,74.0,19.3223015,-99.1035542,Coyoacán
35458.0,63.0,19.39106,-99.14775,Benito Juárez
35911.31,50.0,19.41275,-99.126007,Venustiano Carranza
39524.23,75.0,19.38751,-99.142247,Benito Juárez
34088.15,80.0,19.361385,-99.246689,Álvaro Obregón
39887.51,80.0,19.38828,-99.195529,Álvaro Obregón
86584.42,70.0,19.3865508,-99.1937082,Álvaro Obregón
24235.78,58.0,19.452365,-99.124572,Venustiano Carranza
50579.02,70.0,19.392185,-99.135357,Benito Juárez
33982.78,65.0,19.323772,-99.116562,Coyoacán
18861.76,63.0,19.441047,-99.135306,Cuauhtémoc
33719.34,70.0,,,Álvaro Obregón
50947.82,68.0,19.399461,-99.175182,Miguel Hidalgo
37934.26,60.0,19.4900536,-99.0935504,Gustavo A. Madero
40067.01,63.0,19.417363,-99.068463,Iztacalco
86858.35,51.0,19.386852,-99.194748,Álvaro Obregón
47139.23,75.0,19.326922,-99.121203,Coyoacán
88513.29,55.0,19.439253,-99.163605,Cuauhtémoc
44151.27,85.0,,,Coyoacán
63171.09,49.0,,,Azcapotzalco
97996.85,70.0,19.384467,-99.135872,Benito Juárez
77572.89,70.0,19.309208,-99.171906,Coyoacán
54322.39,87.0,19.383446,-99.137643,Benito Juárez
61537.81,52.0,19.392349,-99.07093,Iztacalco
62170.05,65.0,19.411112,-99.193066,Miguel Hidalgo
90093.88,88.0,19.369509,-99.172532,Benito Juárez
76922.26,55.0,19.364891,-99.148384,Benito Juárez
50948.31,70.0,19.445553,-99.097057,Venustiano Carranza
57968.87,65.0,23.634501,-102.552788,Iztacalco
81683.41,60.0,19.3778105,-99.1975082,Álvaro Obregón
77148.81,63.0,19.417923,-99.148384,Cuauhtémoc
39896.97,90.0,19.38828,-99.195529,Álvaro Obregón
79029.72,80.0,19.370046,-99.146155,Benito Juárez
32763.77,65.0,19.29707,-99.051074,Tláhuac
31440.65,65.0,19.441879,-99.167819,Miguel Hidalgo
54793.94,75.0,19.452255,-99.124703,Venustiano Carranza
55847.67,60.0,19.458831,-99.203999,Miguel Hidalgo
50052.15,63.0,19.298347,-99.116905,Tlalpan
91147.61,91.0,19.401456,-99.146787,Benito Juárez
39514.86,60.0,19.386852,-99.194748,Álvaro Obregón
68861.23,51.0,19.473415,-99.143539,Gustavo A. Madero
65858.1,70.0,19.3437444,-99.1561883,Coyoacán
97751.02,70.0,19.371132,-99.173156,Benito Juárez
31611.89,60.0,19.452689,-99.117987,Venustiano Carranza
46943.65,75.0,19.359901,-99.189606,Álvaro Obregón
76922.26,70.0,19.365843,-99.149901,Benito Juárez
86953.31,80.0,19.368568,-99.15031,Benito Juárez
61401.0,70.0,19.457129,-99.174456,Miguel Hidalgo
60826.16,85.0,19.441809,-99.156423,Cuauhtémoc
73761.07,60.0,19.449997,-99.18117,Miguel Hidalgo
68492.42,50.0,19.287188,-99.170525,Tlalpan
65858.1,64.0,19.383446,-99.137643,Benito Juárez
45563.27,85.0,19.460913,-99.12858,Cuauhtémoc
41368.69,50.0,19.3579916,-99.0648692,Iztapalapa
46146.24,70.0,19.40263,-99.078233,Iztacalco
76097.32,90.0,19.404442,-99.162688,Cuauhtémoc
83244.64,59.0,19.46731,-99.133163,Gustavo A. Madero
63926.24,60.0,19.383547,-99.074514,Iztapalapa
24858.52,56.0,,,Iztapalapa
64119.45,80.0,19.377369,-99.198052,Álvaro Obregón
28825.02,77.0,19.4959960885,-99.2017929554,Azcapotzalco
42149.18,80.0,,,Gustavo A. Madero
76395.4,70.0,19.342508,-99.137204,Coyoacán
64488.25,57.0,19.366738,-99.14554,Benito Juárez
79048.46,70.0,19.385853,-99.137921,Benito Juárez
46123.32,81.0,19.436738,-99.138619,Cuauhtémoc
29525.5,50.0,19.318662,-99.07476,Iztapalapa
23919.66,50.0,19.371745,-99.212281,Álvaro Obregón
61881.06,60.0,19.352333,-99.121169,Coyoacán
15809.69,55.0,19.460913,-99.12858,Cuauhtémoc
69019.29,70.0,19.386033,-99.18296,Benito Juárez
26751.56,65.0,19.46731,-99.133163,Gustavo A. Madero
36889.28,62.0,19.4306069,-99.0949899,Venustiano Carranza
63961.39,70.0,19.366738,-99.14554,Benito Juárez
67579.16,60.0,19.343558,-99.15189,Coyoacán
93518.5,65.0,19.472155,-99.161186,Azcapotzalco
68228.99,90.0,19.35782,-99.149406,Benito Juárez
98787.15,75.0,,,Tlalpan
56643.6,75.0,19.372248,-99.133377,Iztapalapa
91990.6,64.0,19.3604024,-99.1497664,Benito Juárez
82190.91,60.0,19.37197,-99.175052,Benito Juárez
73761.07,74.0,19.394628,-99.143842,Benito Juárez
20547.72,65.0,19.311038,-99.101601,Coyoacán
60589.45,65.0,19.346609,-99.072311,Iztapalapa
90093.88,70.0,19.377171,-99.188503,Benito Juárez
44783.51,50.0,19.317698,-99.061256,Iztapalapa
43694.63,60.0,19.473693,-99.164851,Azcapotzalco
27486.01,50.0,19.422817,-99.058911,Venustiano Carranza
54279.94,90.0,19.361993,-99.137782,Iztapalapa
32876.36,54.0,19.538431,-99.143669,Gustavo A. Madero
33502.21,75.0,19.406489,-99.133375,Iztacalco
48581.99,66.0,,,Iztacalco
24382.88,65.0,19.476817,-99.188708,Azcapotzalco
58481.99,55.0,19.377523,-99.193103,Álvaro Obregón
36269.37,69.0,19.452689,-99.117987,Venustiano Carranza
88112.69,64.0,19.457911,-99.144234,Cuauhtémoc
60958.26,52.0,19.455518,-99.123801,Venustiano Carranza
60062.59,67.0,19.461871,-99.129227,Cuauhtémoc
61626.9,80.0,19.39942,-99.141673,Benito Juárez
34254.33,60.0,19.524143,-99.160149,Gustavo A. Madero
31611.89,53.0,19.519199,-99.151759,Gustavo A. Madero
52440.59,80.0,19.443903,-99.171681,Miguel Hidalgo
57955.13,75.0,19.392349,-99.07093,Iztacalco
38091.59,55.0,19.445743,-99.174986,Miguel Hidalgo
53929.88,80.0,19.446873,-99.158503,Cuauhtémoc
94835.67,65.0,19.392425,-99.140582,Benito Juárez
65873.72,85.0,19.2963742,-99.1186279,Tlalpan
94858.16,64.0,19.390062,-99.192293,Álvaro Obregón
44178.77,60.0,19.386385,-99.142736,Benito Juárez
79029.72,50.0,19.404661,-99.133858,Cuauhtémoc
43202.91,50.0,19.410307,-99.065399,Iztacalco
44572.76,85.0,19.457982,-99.19269,Miguel Hidalgo
44666.44,80.0,19.391579,-99.182986,Benito Juárez
58671.66,60.0,19.452473,-99.168346,Cuauhtémoc
26138.69,50.0,,,Gustavo A. Madero
97891.48,70.0,19.387209,-99.222038,Álvaro Obregón
33982.78,80.0,19.448187,-99.161176,Cuauhtémoc
86748.29,74.0,19.396705,-99.181902,Benito Juárez
31593.03,70.0,19.379802,-99.111326,Iztapalapa
35080.76,60.0,19.501818,-99.116044,Gustavo A. Madero
93071.72,90.0,,,Álvaro Obregón
63750.64,67.0,19.3653,-99.148217,Benito Juárez
36300.98,60.0,19.386852,-99.194748,Álvaro Obregón
66384.96,58.0,19.386852,-99.194748,Álvaro Obregón
37916.86,74.0,,,Iztapalapa
71748.66,60.0,19.383078,-99.185903,Benito Juárez
85352.1,58.0,19.386852,-99.194748,Álvaro Obregón
66384.96,65.0,19.36269,-99.150565,Benito Juárez
33719.34,80.0,19.385027,-99.223488,Álvaro Obregón
42570.67,60.0,19.334265,-99.205021,Álvaro Obregón
72760.03,85.0,19.401819,-99.184615,Miguel Hidalgo
22128.32,66.0,19.458968,-99.152898,Cuauhtémoc
48218.66,60.0,19.486021,-99.118413,Gustavo A. Madero
67069.89,70.0,,,Benito Juárez
35890.24,50.0,19.41275,-99.126007,Venustiano Carranza
77148.81,63.0,19.417923,-99.148384,Cuauhtémoc
27486.01,55.0,19.422817,-99.058911,Venustiano Carranza
7823.94,49.0,19.2878066,-99.0522925,Tláhuac
84298.37,80.0,19.35782,-99.149406,Benito Juárez
40041.72,65.0,19.365917,-99.196977,Álvaro Obregón
64031.62,60.0,19.405298,-99.164986,Cuauhtémoc
51632.75,61.0,19.3200381,-99.082512,Iztapalapa
55252.24,90.0,19.306092,-99.113431,Coyoacán
20552.6,60.0,19.311038,-99.101601,Coyoacán
42159.18,59.0,19.4558491807,-99.2046815157,Miguel Hidalgo
81683.41,60.0,19.377811,-99.197508,Álvaro Obregón
86689.81,65.0,19.3865940087,-99.1936147213,Álvaro Obregón
34246.21,60.0,19.328243,-99.077778,Iztapalapa
45995.3,57.0,19.328392,-99.087854,Iztapalapa
34831.03,54.0,19.342083,-99.0532159,Iztapalapa
88534.28,55.0,19.439253,-99.163605,Cuauhtémoc
93118.88,58.0,,,Gustavo A. Madero
63238.77,88.0,19.516777,-99.160149,Gustavo A. Madero
97404.94,90.0,19.42196,-99.174559,Cuauhtémoc
39883.66,70.0,19.372724,-99.137094,Benito Juárez
44583.33,60.0,19.457982,-99.19269,Miguel Hidalgo
79029.72,91.0,19.4503249,-99.1351802,Cuauhtémoc
36195.61,59.0,19.523798,-99.155941,Gustavo A. Madero
33508.6,70.0,19.335364,-99.024154,Iztapalapa
43729.78,54.0,19.500817,-99.184177,Azcapotzalco
82138.73,63.0,19.2990233,-99.0436467,Tláhuac
63898.79,70.0,19.336994,-99.162355,Coyoacán
40568.59,70.0,19.36243,-99.176957,Álvaro Obregón
36511.73,69.0,19.329989,-99.085524,Iztapalapa
29962.59,68.0,19.461349,-99.149071,Azcapotzalco
40041.72,60.0,19.387868,-99.142256,Benito Juárez
34193.52,50.0,19.443592,-99.121407,Venustiano Carranza
22133.57,52.0,,,Iztapalapa
39764.59,70.0,19.366996,-99.191824,Álvaro Obregón
63238.77,80.0,,,La Magdalena Contreras
48097.12,75.0,,,Coyoacán
35826.8,58.0,19.370822,-99.105239,Iztapalapa
42676.05,60.0,19.443178,-99.144234,Cuauhtémoc
24768.51,60.0,19.3703924,-99.1249413,Iztapalapa
49279.39,70.0,19.475187,-99.175019,Azcapotzalco
56972.86,60.0,19.402944,-99.199727,Miguel Hidalgo
71653.61,90.0,19.391819,-99.188639,Benito Juárez
61626.9,75.0,19.39942,-99.141673,Benito Juárez
53160.66,60.0,19.399375,-99.149986,Benito Juárez
34948.68,50.0,19.455243,-99.184091,Miguel Hidalgo
55847.67,60.0,19.400623,-99.14173,Benito Juárez
48631.25,50.0,19.28008,-99.217066,Tlalpan
94858.16,62.0,19.3847719,-99.1664667,Benito Juárez
38987.99,67.0,19.493185,-99.205755,Azcapotzalco
70599.88,65.0,19.439946,-99.099697,Venustiano Carranza
56936.49,70.0,19.379765,-99.150386,Benito Juárez
35616.06,77.0,19.49551,-99.201675,Azcapotzalco
35631.86,70.0,19.35944,-99.217652,Álvaro Obregón
44178.77,60.0,19.382649,-99.143384,Benito Juárez
